SDR	7.1.1
09/08/2012 02:50:00	6.8	1.4																							225								-123.5															
09/08/2012 03:00:00	7.6	1.5																							225								-123.5															
09/08/2012 03:10:00	7.2	1.4																							225								-123.5															
09/08/2012 03:20:00	7.1	1.4																							248								-123.5															
09/08/2012 03:30:00	7.6	1.2																							248								-123.5															
09/08/2012 03:40:00	8.0	1.4																							248								-123.5															
09/08/2012 03:50:00	12.1	2.2																							248								-123.5															
09/08/2012 04:00:00	12.3	2.2																							248								-123.5															
09/08/2012 04:10:00	12.9	1.9																							248								-123.5															
09/08/2012 04:20:00	11.5	2.4																							248								-123.5															
09/08/2012 04:30:00	11.5	2.7																							248								-123.5															
09/08/2012 04:40:00	10.1	2.0																							248								-123.5															
09/08/2012 04:50:00	11.0	2.9																							248								-123.5															
09/08/2012 05:00:00	13.3	3.4																							248								-123.5															
09/08/2012 05:10:00	14.9	3.3																							248								-123.5															
09/08/2012 05:20:00	13.0	3.0																							248								-123.5															
09/08/2012 05:30:00	10.7	2.4																							248								-123.5															
09/08/2012 05:40:00	11.8	3.2																							248								-123.5															
09/08/2012 05:50:00	14.1	3.4																							248								-123.5															
09/08/2012 06:00:00	13.8	3.0																							248								-123.5															
09/08/2012 06:10:00	15.5	3.0																							248								-123.5															
09/08/2012 06:20:00	15.2	3.0																							248								-123.5															
09/08/2012 06:30:00	14.7	3.0																							248								-123.5															
09/08/2012 06:40:00	15.8	2.7																							248								-123.5															
09/08/2012 06:50:00	12.9	2.1																							248								-123.5															
09/08/2012 07:00:00	14.4	13.6																							248								-123.5															
09/08/2012 07:10:00	14.9	3.1																							248								-123.5															
09/08/2012 07:20:00	14.9	3.5																							248								-123.5															
09/08/2012 07:30:00	17.1	2.6																							248								-123.5															
09/08/2012 07:40:00	14.4	13.6																							248								-123.5															
09/08/2012 07:50:00	14.5	2.9																							270								-123.5															
09/08/2012 08:00:00	13.9	2.7																							270								-123.5															
09/08/2012 08:10:00	13.5	2.9																							248								-123.5															
09/08/2012 08:20:00	12.2	2.5																							248								-123.5															
09/08/2012 08:30:00	12.0	1.8																							248								-123.5															
09/08/2012 08:40:00	14.6	2.5																							248								-123.5															
09/08/2012 08:50:00	11.4	2.8																							248								-123.5															
09/08/2012 09:00:00	12.7	3.1																							248								-123.5															
09/08/2012 09:10:00	15.5	3.3																							248								-123.5															
09/08/2012 09:20:00	21.5	7.6																							315								-123.5															
09/08/2012 09:30:00	18.6	5.7																							0								-123.5															
09/08/2012 09:40:00	7.7	3.8																							68								-123.5															
09/08/2012 09:50:00	6.9	3.2																							112								-123.5															
09/08/2012 10:00:00	5.6	2.4																							135								-123.5															
09/08/2012 10:10:00	6.0	1.5																							180								-123.5															
09/08/2012 10:20:00	5.8	1.7																							225								-123.5															
09/08/2012 10:30:00	2.1	1.0																							225								-123.5															
09/08/2012 10:40:00	3.8	1.1																							225								-123.5															
09/08/2012 10:50:00	4.9	1.2																							225								-123.5															
09/08/2012 11:00:00	5.7	1.4																							202								-123.5															
